scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_efd854d8.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_4fb4e6cd.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_19cc2040.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_717bfb0f.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_50e426a3.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_31fc1fd5.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_6ffff077.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_b7ea27f9.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_1a336d10.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_aa3338f7.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_9427f1d2.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_6e7ffb76.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_3547d7dc.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_4d23807f.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_35ab551e.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_bdcdff79.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_151c02b0.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_9c8bf920.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_e4c6430a.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_c3948f83.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_ee6fddca.jpg
